model,num_params,epochs_trained,psnr,ssim,avg_inference_time,learning_rate,div
FDCN-nf10-upscale2-LR1e-2,17772,40,31.30518187402276,0.9095090627670288,0.15006839036941527,1e-2,2
BaseN-nf10-upscale2-LR1e-2,16512,40,31.198231811256008,0.912472665309906,0.12466228008270264,1e-2,2

RFDN-nf10-upscale2-LR1e-2,17772,40,31.32733055873964,0.9123885631561279,0.15748133659362792,1e-2,2
RFDN-nf10-upscale2-LR1e-2,17772,40,33.42168313522371,0.9278793334960938,0.15601495504379273,1e-2,1.01
RFDN-nf10-upscale2-LR1e-2,17772,40,33.29597295842228,0.9272235631942749,0.15798988103866576,1e-2,1.01
RFDN-nf10-upscale2-LR1e-2,17772,40,33.41725744285075,0.927844226360321,0.15872211694717409,1e-2,1.01
RFDN-nf10-upscale2-LR1e-2,17772,40,33.41926887828946,0.9276212453842163,0.15283258199691774,1e-2,1.01

RFDN1-nf10-upscale2-LR1e-2,9652,40,30.97251415687301,0.9117670655250549,0.10109703779220582,1e-2,2
RFDN1-nf10-upscale2-LR1e-2,9652,40,32.93098219938509,0.9256126284599304,0.10096499919891358,1e-2,1.005
RFDN1-nf10-upscale2-LR1e-2,9652,40,29.675080139565903,0.8614474534988403,0.09766403436660767,1e-2,1.005
RFDN1-nf10-upscale2-LR1e-2,9652,40,31.722415777530067,0.912070095539093,0.10016692161560059,1e-2,1.005


